county,ai_name,AIused,year
DUTCHESS,ISOFENPHOS,0.000125,2009
DUTCHESS,PHORATE,0.029,2009
DUTCHESS,PHOSMET,5.95,2009
DUTCHESS,PROPETAMPHOS,0.02457,2009
DUTCHESS,TRICHLORFON,183.094,2009
ERIE,ACEPHATE,1.5842,2009
ERIE,BENSULIDE,3.8456,2009
ERIE,CHLORPYRIFOS,1.847332,2009
ERIE,DIAZINON,0.02,2009
ERIE,DICHLORVOS,148.688,2009
ERIE,DICROTOPHOS,0.9512,2009
ERIE,DIMETHOATE,88.41375,2009
ERIE,FENAMIPHOS,0.02865,2009
ERIE,GLYPHOSATE,118.8672,2009
ERIE,ISOFENPHOS,1.6875,2009
ERIE,PHOSMET,3.5,2009
ERIE,PROPETAMPHOS,0.02298,2009
ERIE,TRICHLORFON,799.17182,2009
ESSEX,BENSULIDE,12.58,2009
ESSEX,CHLORPYRIFOS,30.201212,2009
ESSEX,GLYPHOSATE,11.65425,2009
ESSEX,TRICHLORFON,33.48,2009
FRANKLIN,CHLORPYRIFOS,0.00147,2009
FRANKLIN,CHLORPYRIFOS-METHYL,0.2134,2009
FRANKLIN,ETHION,2.5575,2009
FRANKLIN,GLYPHOSATE,84.3575,2009
FRANKLIN,PHOSMET,2.8,2009
FRANKLIN,TRICHLORFON,27.9,2009
FULTON,CHLORPYRIFOS,0.753616,2009
FULTON,DICHLORVOS,0.0651,2009
FULTON,DICROTOPHOS,0.0082,2009
FULTON,PROPETAMPHOS,0.01701,2009
FULTON,TRICHLORFON,0.465,2009
GENESEE,CHLORPYRIFOS,27.838,2009
GENESEE,DICROTOPHOS,0.1312,2009
GENESEE,DIMETHOATE,4.8894,2009
GENESEE,GLYPHOSATE,71.08375,2009
GENESEE,TRICHLORFON,9.89396,2009
GREENE,ACEPHATE,0.0291,2009
GREENE,BENSULIDE,1.84,2009
GREENE,CHLORPYRIFOS,2.006682,2009
GREENE,TRICHLORFON,31,2009
