,X,cnty_name,ai_name,AIused,year
312,312,RICHMOND,CHLORPYRIFOS,0.0245,2008
313,313,RICHMOND,DICHLORVOS,0.379028,2008
314,314,RICHMOND,GLYPHOSATE,0.60562,2008
315,315,RICHMOND,PROPETAMPHOS,0.76167,2008
316,316,RICHMOND,TRICHLORFON,26.01768,2008
317,317,ROCKLAND,ACEPHATE,15.092,2008
318,318,ROCKLAND,BENSULIDE,41.25,2008
319,319,ROCKLAND,CHLORPYRIFOS,33.98216,2008
320,320,ROCKLAND,DIAZINON,0.4835,2008
321,321,ROCKLAND,DICHLORVOS,0.40449,2008
322,322,ROCKLAND,DICROTOPHOS,0.0902,2008
323,323,ROCKLAND,DISULFOTON,0.0272,2008
324,324,ROCKLAND,PROPETAMPHOS,0.40824,2008
325,325,ROCKLAND,RONNEL,0.000225,2008
326,326,ROCKLAND,TRICHLORFON,1219.93734,2008
327,327,SARATOGA,ACEPHATE,0.464106,2008
328,328,SARATOGA,BENSULIDE,46.7762,2008
329,329,SARATOGA,CHLORPYRIFOS,13.182378,2008
330,330,SARATOGA,GLYPHOSATE,0.0283,2008
331,331,SARATOGA,PHOSMET,1.225,2008
332,332,SARATOGA,PROPETAMPHOS,0.19278,2008
333,333,SARATOGA,TRICHLORFON,628.18712,2008
334,334,SCHENECTADY,ACEPHATE,3.067725,2008
335,335,SCHENECTADY,BENSULIDE,15.725,2008
336,336,SCHENECTADY,CHLORPYRIFOS,1.519232,2008
337,337,SCHENECTADY,DICHLORVOS,0.3184,2008
338,338,SCHENECTADY,GLYPHOSATE,0.00283,2008
339,339,SCHENECTADY,PROPETAMPHOS,0.03402,2008
340,340,SCHENECTADY,TRICHLORFON,98.3475,2008
341,341,SCHOHARIE,ACEPHATE,0.02,2008
342,342,SCHOHARIE,CHLORPYRIFOS,0.15,2008
343,343,SCHOHARIE,GLYPHOSATE,4.4714,2008
344,344,SCHUYLER,DIMETHOATE,0.4089,2008
345,345,SCHUYLER,GLYPHOSATE,54.82725,2008
346,346,SENECA,ACEPHATE,0.0122,2008
347,347,SENECA,CHLORPYRIFOS,2.23025,2008
348,348,SENECA,DICHLORVOS,0.265,2008
349,349,SENECA,DIMETHOATE,4.35,2008
350,350,SENECA,GLYPHOSATE,246.48995,2008
351,351,SENECA,PHOSMET,31.5,2008
352,352,SENECA,TRICHLORFON,3.21408,2008
353,353,ST.LAWRENCE,ACEPHATE,0.5925,2008
354,354,ST.LAWRENCE,CHLORPYRIFOS,5.3344,2008
355,355,ST.LAWRENCE,DICROTOPHOS,0.0246,2008
356,356,ST.LAWRENCE,GLYPHOSATE,22.49875,2008
357,357,ST.LAWRENCE,TRICHLORFON,102.46428,2008
358,358,STEUBEN,ACEPHATE,0.5775,2008
359,359,STEUBEN,CHLORPYRIFOS,0.6613,2008
360,360,STEUBEN,DIMETHOATE,3.4539,2008
361,361,STEUBEN,TRICHLORFON,58.91844,2008
362,362,SUFFOLK,ACEPHATE,2077.37674,2008
363,363,SUFFOLK,AZINPHOS-METHYL,3.33,2008
364,364,SUFFOLK,BENSULIDE,107.5028,2008
365,365,SUFFOLK,CHLORPYRIFOS,90.24559,2008
366,366,SUFFOLK,DIAZINON,0.0135,2008
367,367,SUFFOLK,DICHLORVOS,0.0140258,2008
368,368,SUFFOLK,DICROTOPHOS,1.1562,2008
369,369,SUFFOLK,DIMETHOATE,0.51027,2008
370,370,SUFFOLK,DISULFOTON,26.6331,2008
371,371,SUFFOLK,FENAMIPHOS,11,2008
372,372,SUFFOLK,GLYPHOSATE,0.39903,2008
373,373,SUFFOLK,OXYDEMETON-METHYL,0.095,2008
374,374,SUFFOLK,PARATHION-METHYL,0.02736,2008
375,375,SUFFOLK,PROPETAMPHOS,2.41164,2008
376,376,SUFFOLK,TRICHLORFON,6467.66394,2008
377,377,SULLIVAN,ACEPHATE,0.4128,2008
378,378,SULLIVAN,CHLORPYRIFOS,4.272432,2008
379,379,SULLIVAN,DICHLORVOS,0.45878,2008
380,380,SULLIVAN,DICROTOPHOS,0.0246,2008
381,381,SULLIVAN,PROPETAMPHOS,0.00945,2008
382,382,SULLIVAN,TRICHLORFON,98.78336,2008
383,383,TIOGA,ACEPHATE,1.26,2008
384,384,TIOGA,BENSULIDE,12.376,2008
385,385,TIOGA,CHLORPYRIFOS,4.56195,2008
386,386,TIOGA,GLYPHOSATE,106.72604,2008
387,387,TIOGA,TRICHLORFON,27.34262,2008
388,388,TOMPKINS,ACEPHATE,4.9382,2008
389,389,TOMPKINS,CHLORPYRIFOS,3.16485,2008
390,390,TOMPKINS,CHLORPYRIFOS-METHYL,0.01296,2008
391,391,TOMPKINS,DICHLORVOS,0.1302,2008
392,392,TOMPKINS,DICROTOPHOS,0.0984,2008
393,393,TOMPKINS,DISULFOTON,4.84,2008
394,394,TOMPKINS,GLYPHOSATE,96.38485,2008
395,395,TOMPKINS,METHAMIDOPHOS,1.224,2008
396,396,TOMPKINS,NALED,0.0058,2008
397,397,TOMPKINS,PHOSMET,114.59,2008
398,398,TOMPKINS,TRICHLORFON,53.15266,2008
399,399,ULSTER,ACEPHATE,0.2619,2008
400,400,ULSTER,AZINPHOS-METHYL,0.145,2008
401,401,ULSTER,BENSULIDE,2.3,2008
402,402,ULSTER,CHLORPYRIFOS,4.2741,2008
403,403,ULSTER,DICHLORVOS,0.1591,2008
404,404,ULSTER,PHOSMET,112.826,2008
405,405,ULSTER,TRICHLORFON,68.0975,2008
406,406,UnreportedCounty,ACEPHATE,0.3744,2008
407,407,UnreportedCounty,PROPETAMPHOS,0.00189,2008
408,408,UnreportedCounty,TRICHLORFON,136.86,2008
409,409,WARREN,ACEPHATE,0.0083,2008
410,410,WARREN,CHLORPYRIFOS,1.143624,2008
411,411,WARREN,DICHLORVOS,0.202,2008
412,412,WARREN,PHOSMET,7.833,2008
413,413,WARREN,TRICHLORFON,141.04918,2008
414,414,WASHINGTON,CHLORPYRIFOS,1.86265,2008
415,415,WASHINGTON,DICHLORVOS,0.03348,2008
416,416,WASHINGTON,GLYPHOSATE,39.401,2008
417,417,WASHINGTON,PHOSMET,2.023,2008
418,418,WASHINGTON,TRICHLORFON,65.844,2008
419,419,WAYNE,ACEPHATE,0.3568,2008
420,420,WAYNE,CHLORPYRIFOS,23.24088,2008
421,421,WAYNE,DIAZINON,14.85375,2008
422,422,WAYNE,DICHLORVOS,0.06515,2008
423,423,WAYNE,DIMETHOATE,434.45625,2008
424,424,WAYNE,GLYPHOSATE,247.476,2008
425,425,WAYNE,METHAMIDOPHOS,623.4,2008
426,426,WAYNE,TEMEPHOS,0.441,2008
427,427,WAYNE,TRICHLORFON,439.29693,2008
428,428,WESTCHESTER,ACEPHATE,5023.1779,2008
429,429,WESTCHESTER,BENSULIDE,98.1256,2008
430,430,WESTCHESTER,CHLORPYRIFOS,118.62197,2008
431,431,WESTCHESTER,DIAZINON,0.03944,2008
432,432,WESTCHESTER,DICHLORVOS,27.98727,2008
433,433,WESTCHESTER,DICROTOPHOS,0.8364,2008
434,434,WESTCHESTER,DIMETHOATE,1.07501,2008
435,435,WESTCHESTER,DISULFOTON,2.5763,2008
436,436,WESTCHESTER,FENAMIPHOS,51.5,2008
437,437,WESTCHESTER,GLYPHOSATE,1.57631,2008
438,438,WESTCHESTER,ISOFENPHOS,1.746,2008
439,439,WESTCHESTER,PARATHION,0.007375,2008
440,440,WESTCHESTER,PHOSMET,23.87,2008
441,441,WESTCHESTER,PROPETAMPHOS,2.41542,2008
442,442,WESTCHESTER,RONNEL,0.000125,2008
443,443,WESTCHESTER,TEMEPHOS,0.070623,2008
444,444,WESTCHESTER,TRICHLORFON,3592.65284,2008
445,445,WYOMING,AZINPHOS-METHYL,20,2008
446,446,WYOMING,CHLORPYRIFOS,4.671148,2008
447,447,WYOMING,DICROTOPHOS,0.0082,2008
448,448,WYOMING,DIMETHOATE,18.91815,2008
449,449,WYOMING,GLYPHOSATE,138.0101,2008
450,450,WYOMING,PHORATE,0.229,2008
451,451,WYOMING,TRICHLORFON,22.04534,2008
452,452,YATES,ACEPHATE,0.1261,2008
453,453,YATES,DICHLORVOS,0.106,2008
454,454,YATES,DICROTOPHOS,0.0082,2008
455,455,YATES,DIMETHOATE,0.6525,2008
456,456,YATES,FONOFOS,0.19844,2008
457,457,YATES,GLYPHOSATE,8.70225,2008
